booking_id,hotel,arrival_date,deposit_type,market_segment,customer_type,booking_value,risk_score,risk_category,expected_loss,business_priority_score,recommended_action,is_canceled
112748,Resort Hotel,2017-07-22,No Deposit,Online TA,Transient,2520.0,0.8814379538650426,Critical,2221.2236437399074,2221.2236437399074,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
103620,Resort Hotel,2017-06-02,No Deposit,Online TA,Transient,2543.021999999997,0.8717730499629756,Critical,2216.9380450629437,2216.9380450629437,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
115952,Resort Hotel,2017-08-11,No Deposit,Online TA,Transient,2543.021999999997,0.869443050459378,Critical,2211.0128050653057,2211.0128050653057,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
116439,Resort Hotel,2017-08-14,No Deposit,Online TA,Transient,2468.0,0.8944045177683723,Critical,2207.3903498523428,2207.3903498523428,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
115438,Resort Hotel,2017-08-07,No Deposit,Online TA,Transient,2543.021999999997,0.8679951471828955,Critical,2207.3307551793387,2207.3307551793387,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
114114,Resort Hotel,2017-07-31,No Deposit,Online TA,Transient,2278.0,0.9524027789464968,Critical,2169.5735304401196,2169.5735304401196,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
104026,Resort Hotel,2017-06-03,No Deposit,Online TA,Transient,2543.021999999997,0.8482234735104364,Critical,2157.0509540534545,2157.0509540534545,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",0
114311,Resort Hotel,2017-08-01,No Deposit,Online TA,Transient,2543.021999999997,0.8450019081796831,Critical,2148.8584425429117,2148.8584425429117,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
116130,Resort Hotel,2017-08-12,No Deposit,Online TA,Transient,2543.021999999997,0.8447167060723324,Critical,2148.1331673094724,2148.1331673094724,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
114036,Resort Hotel,2017-07-30,No Deposit,Online TA,Transient,2543.021999999997,0.839941327759496,Critical,2135.9892752016067,2135.9892752016067,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
108494,Resort Hotel,2017-06-28,No Deposit,Online TA,Transient,2242.3799999999997,0.9521829517611726,Critical,2135.156007370218,2135.156007370218,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
113880,Resort Hotel,2017-07-29,No Deposit,Online TA,Transient,2543.021999999997,0.8376821700064273,Critical,2130.2441873340827,2130.2441873340827,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
113882,Resort Hotel,2017-07-29,No Deposit,Online TA,Transient,2543.021999999997,0.8376821700064273,Critical,2130.2441873340827,2130.2441873340827,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
119177,Resort Hotel,2017-08-31,No Deposit,Online TA,Transient,2413.95,0.880068000187895,Critical,2124.440149053569,2124.440149053569,"высокий приоритет: запросить подтверждение, предложить депозит/невозвратный тариф, учесть в overbooking",1
